granule,region,size_mb
ATL03_20210102075314_01421010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,5915.852291107178
ATL03_20210102204058_01501012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1209.6825227737427
ATL03_20210103072735_01571010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,6079.276545524597
ATL03_20210103201518_01651012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1434.2152862548828
ATL03_20210106074454_02031010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,5749.245593070984
ATL03_20210106203237_02111012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1493.6656398773193
ATL03_20210107071914_02181010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,6011.741141319275
ATL03_20210107200658_02261012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1536.9598979949951
ATL03_20210110073636_02641010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4792.984505653381
ATL03_20210110202420_02721012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1546.871660232544
ATL03_20210111071058_02791010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,5704.1762619018555
ATL03_20210111195841_02871012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1319.1380634307861
ATL03_20210114201558_03331012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1018.7006225585938
ATL03_20210115070236_03401010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4098.482604026794
ATL03_20210115195020_03481012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,846.797905921936
ATL03_20210118200736_03941012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1340.2813663482666
ATL03_20210119065414_04011010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4848.114172935486
ATL03_20210119194158_04091012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1234.561011314392
ATL03_20210122195922_04551012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1079.7016382217407
ATL03_20210123064559_04621010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,5408.375189781189
ATL03_20210123193342_04701012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,732.2714166641235
ATL03_20210124190802_04851012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,602.2028675079346
ATL03_20210127063739_05231010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,5589.7390060424805
ATL03_20210127192522_05311012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1272.660385131836
ATL03_20210128061201_05381010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4591.979357719421
ATL03_20210128185944_05461012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,962.0492038726807
ATL03_20210131062919_05841010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4869.477047920227
ATL03_20210131191702_05921012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1200.5982093811035
ATL03_20210201060339_05991010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4779.580261230469
ATL03_20210201185122_06071012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,760.0468368530273
ATL03_20210204062059_06451010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4860.61797618866
ATL03_20210204190842_06531012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,678.6843204498291
ATL03_20210205055521_06601010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,5219.381322860718
ATL03_20210205184304_06681012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,655.7815074920654
ATL03_20210208061240_07061010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4556.91694355011
ATL03_20210208190023_07141012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1051.2534246444702
ATL03_20210209054700_07211010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4175.017743110657
ATL03_20210209183444_07291012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,996.2997236251831
ATL03_20210212060421_07671010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,3909.213207244873
ATL03_20210212185204_07751012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,840.7681932449341
ATL03_20210213053841_07821010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4043.9102239608765
ATL03_20210213182624_07901012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1063.7487392425537
ATL03_20210216184343_08361012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,695.110034942627
ATL03_20210217053020_08431010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,4846.767948150635
ATL03_20210217181804_08511012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1125.1994819641113
ATL03_20210220183524_08971012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,1033.2311706542969
ATL03_20210221052202_09041010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,3942.3462743759155
ATL03_20210221180945_09121012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,769.6897640228271
ATL03_20210222174406_09271012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,413.6141004562378
ATL03_20210225051340_09651010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,3399.3104791641235
ATL03_20210225180123_09731012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,712.8076190948486
ATL03_20210226173544_09881012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,796.3416919708252
ATL03_20210301050520_10261010_006_01.h5,simplified_ANT_1000_East_B-C.geojson,3600.1156244277954
ATL03_20210301175303_10341012_006_01.h5,simplified_ANT_1000_East_B-C.geojson,470.5310916900635
